Account,Balance
0.0.7843604,1
0.0.7812435,343.688489
0.0.7806437,67.766635
0.0.7802819,8631.109687
0.0.7802084,936.382238
0.0.7801381,0
0.0.7800930,1213.643119
0.0.7799257,1092.171683
0.0.7798769,0
0.0.7798148,540.769536
0.0.7795187,0
0.0.7793830,344.263111
0.0.7791781,56783.803521
0.0.7790024,100000
0.0.7789814,0
0.0.7789461,0
0.0.7788377,814.298769
0.0.7788050,910
0.0.7787910,20231.379068
0.0.7787556,5917.713157
0.0.7786580,0
0.0.7785584,90000.966767
0.0.7784808,3414.326504
0.0.7784755,0
0.0.7784534,7732.704975
0.0.7783941,0
0.0.7783657,2576.993849
0.0.7782263,6376.05669
0.0.7781536,301
0.0.7781366,74.286965
0.0.7780867,0
0.0.7780687,29845.223539
0.0.7780601,46111.356999
0.0.7780574,9582.910182
0.0.7780120,0
0.0.7779471,1214.343295
0.0.7779246,237.894185
0.0.7779178,1954.638839
0.0.7779092,10.925922
0.0.7778951,0
0.0.7778923,390624.826871
0.0.7778605,8115.570877
0.0.7778579,1966.199221
0.0.7778543,0
0.0.7778520,619.238461
0.0.7778474,1837.044774
0.0.7778253,901.07837
0.0.7778211,0
0.0.7778149,0
0.0.7777936,6189.367922
0.0.7776977,0
0.0.7776725,26839.389291
0.0.7776373,123704.550653
0.0.7776347,0
0.0.7776148,2450.846414
0.0.7776101,0
0.0.7776085,0
0.0.7776052,0
0.0.7775824,5749.339194
0.0.7775651,0
0.0.7775614,0
0.0.7774489,6935.861473
0.0.7774251,7827.785914
0.0.7773962,97515.775582
0.0.7773211,1446.00521
0.0.7772571,5889.297851
0.0.7770625,0
0.0.7770339,125000.000432
0.0.7770301,20015.108747
0.0.7769825,6006.89807
0.0.7765848,163429.943285
0.0.7765095,0
0.0.7763952,200394.246765
0.0.7763604,600.377502
0.0.7763537,575.909533
0.0.7763273,3174.0169
0.0.7762951,6338.494358
0.0.7762784,6565.855455
0.0.7762062,56741.219277
0.0.7761918,3193.980843
0.0.7761836,0
0.0.7761758,3053.2877
0.0.7760708,0
0.0.7760581,0
0.0.7758848,0
0.0.7757623,939.232235
0.0.7757300,0
0.0.7757094,110.294389
0.0.7756594,0
0.0.7756415,0
