Account,Balance
0.0.7830153,271710333.829602
0.0.7829455,139540.777222
0.0.7793830,1057703.773601
0.0.7778474,0
0.0.7742625,31039.48397
0.0.7736454,22819965.225024
0.0.7735860,1444730.860665
0.0.7732467,1857329.375803
0.0.7718394,2647201.701607
0.0.7717603,1931108.42306
0.0.7717253,0
0.0.7716757,15855559.590726
0.0.7707528,0
0.0.7704282,2555607.969683
0.0.7698305,5784822.372662
0.0.7688329,0
0.0.7675607,0
0.0.7640469,2654144.490261
0.0.7637089,0.00027
0.0.7636227,0
0.0.7625732,42933418.601859
0.0.7624152,33162.339478
0.0.7598070,11178048.123512
0.0.7595474,0
0.0.7588094,1037586.098239
0.0.7586510,31802.814417
0.0.7577950,0
0.0.7572736,0
0.0.7570654,0
0.0.7569280,0
0.0.7565398,3323027.331937
0.0.7562636,5044765.274877
0.0.7558930,0
0.0.7551872,1948928.137414
0.0.7550841,109161.989667
0.0.7550732,30005306.511261
0.0.7545376,0
0.0.7542917,846446.645913
0.0.7541069,0
0.0.7539193,191512094.625757
0.0.7533239,0
0.0.7528161,0
0.0.7527962,0.00182
0.0.7506429,0
0.0.7501146,0
0.0.7469033,0
0.0.7403530,1000000
0.0.7399671,0
0.0.7314893,0.000869
0.0.7303420,0
0.0.7299329,5606
0.0.7288812,0
0.0.7283513,59576729.357838
0.0.7281571,3100000
0.0.7275652,24276436.119016
0.0.7271378,727015.483105
0.0.7268957,489663.811358
0.0.7246240,2240012.000384
0.0.7213241,0
0.0.7207304,215005.568704
0.0.7199560,0
0.0.7190251,0
0.0.7164992,1895989.162537
0.0.7136932,0
0.0.7019985,171172652.656396
0.0.6929819,0
0.0.6926407,0
0.0.6896647,598.611664
0.0.6884589,0
0.0.6827913,990.645444
0.0.6826633,100000
0.0.6778922,57822.682821
0.0.6764534,0
0.0.6735827,22398.725693
0.0.6602698,33415.22538
0.0.6597602,0
0.0.6563861,135147.960659
0.0.6563635,121502.474323
0.0.6507783,500000
0.0.6334489,120000
0.0.6334427,50000
0.0.6327622,105.479636
0.0.6283768,1000000
0.0.6271995,5
0.0.6271964,5
0.0.6267400,5
0.0.6267349,5
0.0.6267278,5
0.0.6258523,0
0.0.6258522,0
0.0.6258521,0
0.0.6258520,0
0.0.6258518,0
0.0.6258517,0
0.0.6258516,0
0.0.6258512,0
0.0.6258509,0
0.0.6258507,0
0.0.6258506,0
0.0.6258505,0
0.0.6258503,0
0.0.6258502,0
0.0.6258500,0
0.0.6258498,0
0.0.6258496,0
0.0.6258494,0
0.0.6258493,0
0.0.6258492,0
0.0.6258491,0
0.0.6258489,0
0.0.6258488,0
0.0.6258486,0
0.0.6258482,0
0.0.6258480,0
0.0.6258479,0
0.0.6258477,0
0.0.6258474,0
0.0.6258470,0
0.0.6258469,0
0.0.6258468,0
0.0.6258467,0
0.0.6258465,0
0.0.6258461,0
0.0.6258460,0
0.0.6258458,0
0.0.6258457,0
0.0.6258454,0
0.0.6258451,0
0.0.6258448,0
0.0.6258447,0
0.0.6258441,0
0.0.6258439,0
0.0.6258438,0
0.0.6258435,0
0.0.6258434,0
0.0.6258433,0
0.0.6258429,0
0.0.6258426,0
0.0.6238926,0
0.0.6196045,2500154.43807
0.0.6184426,0
0.0.6149027,0
0.0.6148796,0
0.0.6144865,24119267.087614
0.0.6139366,0
0.0.6108682,100000
0.0.6101753,0
0.0.6101752,50285024.438403
0.0.6099176,5
0.0.6094348,5
0.0.6093001,694138.168451
0.0.6069463,0
0.0.6069462,0
0.0.6069460,0
0.0.6069459,0
0.0.6069457,0
0.0.6069451,0
0.0.6069446,0
0.0.6069439,0
0.0.6069435,0
0.0.6069432,0
0.0.6069427,0
0.0.6069422,0
0.0.6069421,0
0.0.6069420,0
0.0.6069397,0
0.0.6069393,0
0.0.6069384,0
0.0.6069382,0
0.0.6069381,0
0.0.6069379,0
0.0.6069371,0
0.0.6069359,0
0.0.6069357,0
0.0.6069356,0
0.0.6069350,0
0.0.6069349,0
0.0.6069347,0
0.0.6069331,0
0.0.6069325,0
0.0.6069323,0
0.0.6069321,0
0.0.6069319,0
0.0.6069316,0
0.0.6069295,0
0.0.6069292,0
0.0.6069288,0
0.0.6069287,0
0.0.6069285,0
0.0.6069283,0
0.0.6069282,0
0.0.6068254,0
0.0.6062517,0
0.0.6062514,0
0.0.6062513,0
0.0.6062510,0
0.0.6062508,0
0.0.6062507,0
0.0.6062503,0
0.0.6062501,0
0.0.6062500,0
0.0.6062498,0
0.0.6052316,0
0.0.6051805,250000
0.0.6047136,0
0.0.6047024,0
0.0.6026253,0
0.0.6014291,0
0.0.5976081,69885399.875522
0.0.5965724,0
0.0.5963501,104923.45805
0.0.5960954,5486758.568984
0.0.5960745,0
0.0.5945421,0
0.0.5944200,23206.187125
0.0.5886801,27899.446134
0.0.5804100,0
0.0.5790223,0
0.0.5790161,20678.929052
0.0.5776570,0.000449
0.0.5746679,73
0.0.5742747,0
0.0.5735818,0
0.0.5727912,25369.974824
0.0.5727141,0
0.0.5724654,500000
0.0.5719207,480000
0.0.5717386,0
0.0.5715846,957593.722275
0.0.5704103,300000
0.0.5699863,0
0.0.5688573,131095463.648413
0.0.5675684,0
0.0.5674265,1438784.469266
0.0.5673155,571038.620733
0.0.5671485,4633631.062023
0.0.5646900,369975.821014
0.0.5608678,0
0.0.5600431,0
0.0.5556164,0
0.0.5549393,102184.208673
0.0.5526315,0
0.0.5457717,0
0.0.5404261,222861.595679
0.0.5402786,15178994.941286
0.0.5378059,0
0.0.5376649,2241758.012146
0.0.5361454,35061.321271
0.0.5347828,0
0.0.5341044,0
0.0.5329041,18494.350104
0.0.5327933,139254.491
0.0.5313096,0
0.0.5309018,625931064.374101
0.0.5293942,0
0.0.5285467,247.618278
0.0.5274515,0
0.0.5274126,0
0.0.5252682,16139.22972
0.0.5229485,15264.299644
0.0.5228741,0
0.0.5207947,5000000
0.0.5180661,0
0.0.5164938,14566.864395
0.0.5159821,14394.555579
0.0.5151093,10001
0.0.5149700,14346.361201
0.0.5132030,0
0.0.5126163,14347.734655
0.0.5125313,0
0.0.5123535,1404192.013244
0.0.5114526,17344.909579
0.0.5105274,14897.434984
0.0.5103296,14479.214267
0.0.5098531,497827.081763
0.0.5095310,185220.905192
0.0.5094812,0
0.0.5091935,5000000
0.0.5082179,14032.055568
0.0.5079181,0
0.0.5076968,13998.514607
0.0.5074946,0
0.0.5056173,13723.80623
0.0.5045544,0
0.0.5041319,0.000036
0.0.5040212,0
0.0.5034157,187443.425904
0.0.5030028,15753.168405
0.0.5029892,561607.539278
0.0.5026549,6000000
0.0.5026428,6000000
0.0.5023209,0
0.0.5022064,15676.279636
0.0.5014500,0
0.0.5011515,1181926.13871
0.0.5009309,747463.120902
0.0.5005487,16757.000036
0.0.5004669,2021001.875475
0.0.5002948,17940.226149
0.0.5002768,0
0.0.5001263,0
0.0.4988467,0
0.0.4986167,4539541.362787
0.0.4982292,15484.654394
0.0.4977892,14689.953028
0.0.4977410,33441.495304
0.0.4975730,0
0.0.4972800,0
0.0.4970463,0
0.0.4969954,0
0.0.4969316,0
0.0.4959658,0
0.0.4958112,11413.359477
0.0.4957224,0
0.0.4950823,12388.663956
0.0.4939404,4500000
0.0.4937973,0
0.0.4923574,1700000
0.0.4920049,0
0.0.4915308,0
0.0.4914745,115713.327227
0.0.4910794,1980510.377905
0.0.4909242,13498.967327
0.0.4906683,2000000
0.0.4906233,42291.507383
0.0.4905657,0
0.0.4892026,0
0.0.4889605,734838.417218
0.0.4886794,0
0.0.4885726,0
0.0.4885722,10990.932215
0.0.4885489,290018.266627
0.0.4877235,0
0.0.4869059,1541109.290646
0.0.4864440,4162752.290921
0.0.4861302,2117445.164048
0.0.4860090,0
0.0.4859703,15000682.477896
0.0.4859043,0
0.0.4857898,1606912.579305
0.0.4857894,3483207.145577
0.0.4857835,5122578.102645
0.0.4857636,43634.245734
0.0.4857392,112863.839822
0.0.4856974,0
0.0.4856609,12484.461849
0.0.4855259,4500000
0.0.4854766,632
0.0.4850152,0
0.0.4849904,99999999.99996
0.0.4849765,0
0.0.4849019,0
0.0.4848944,0
0.0.4843456,5582140.773039
0.0.4841757,0
0.0.4823609,11755.020267
0.0.4823404,0
0.0.4823310,12364.557857
0.0.4821624,0
0.0.4820850,0
0.0.4818551,161596803.189905
0.0.4817928,0
0.0.4817922,0
0.0.4817915,0
0.0.4817910,0
0.0.4817907,0
0.0.4817184,228.238997
0.0.4816623,151156427.224995
0.0.4815804,11021.695986
0.0.4814479,0
0.0.4808239,455990.076028
0.0.4807683,0
0.0.4807036,4220618.882673
0.0.4802146,1462.76
0.0.4798462,400000
0.0.4795167,0
0.0.4793919,0
0.0.4791425,0
0.0.4790910,1000000
0.0.4778986,0
0.0.4762253,0
0.0.4760784,117532.96211
0.0.4759395,0
0.0.4759261,1031207.770131
0.0.4758623,53530.869373
0.0.4758580,0
0.0.4758474,5377232.438294
0.0.4758336,0
0.0.4758018,12760.372837
0.0.4755669,0
0.0.4754991,0
0.0.4754289,0
0.0.4752509,0
0.0.4751697,18584243.61534
0.0.4750344,1307.951708
0.0.4749577,0
0.0.4749504,0
0.0.4749503,0
0.0.4749263,0
0.0.4747340,0
0.0.4746764,0
0.0.4741586,0
0.0.4740527,0
0.0.4739230,0
0.0.4737019,0
0.0.4735767,26365.233218
0.0.4735173,0
0.0.4734041,0
0.0.4731985,0
0.0.4729475,0
0.0.4727135,0
0.0.4724117,189169.989222
0.0.4722203,21696.232028
0.0.4721778,24996181.075667
0.0.4717941,0
0.0.4715971,3475188.850916
0.0.4707696,73343900.698634
0.0.4707018,13147541.487196
0.0.4702795,20000
0.0.4701951,0
0.0.4701555,8166339.2
0.0.4701231,0
0.0.4696824,0
0.0.4683342,0
0.0.4671634,0
0.0.4666740,1000000
0.0.4658265,0
0.0.4639981,5006.586688
0.0.4639908,0
0.0.4638842,0
0.0.4638295,205840.356614
0.0.4629342,1557454.166795
0.0.4628542,0
0.0.4624343,0
0.0.4615253,0
0.0.4614967,0
0.0.4612397,0.437111
0.0.4611777,0
0.0.4609722,0
0.0.4607503,1447873.777891
0.0.4607205,49473.257892
0.0.4607079,0
0.0.4607064,0
0.0.4606843,0
0.0.4606671,0
0.0.4606038,0
0.0.4605267,113739887.097268
0.0.4605242,5555049.279404
0.0.4605079,6937861.068059
0.0.4604514,0
0.0.4601051,4364457.562276
0.0.4600736,2160638.70366
0.0.4595844,4527782.887776
0.0.4594319,0
0.0.4593626,0
0.0.4592604,0
0.0.4591953,3658486.243587
0.0.4590549,0
0.0.4590488,0
0.0.4589841,0
0.0.4589709,19875.146508
0.0.4582238,2972259.208621
0.0.4576240,1578317.331777
0.0.4575600,5348.528845
0.0.4575480,0
0.0.4574969,0
0.0.4574781,0
0.0.4574337,0
0.0.4572152,1000000
0.0.4572141,0
0.0.4571385,0
0.0.4571340,0
0.0.4570960,0
0.0.4570090,36816748.333228
0.0.4567218,0
0.0.4561808,0
0.0.4561220,102128.419836
0.0.4560587,229351.769718
0.0.4560276,0
0.0.4559661,495562.385628
0.0.4559304,0
0.0.4559263,0
0.0.4557975,0
0.0.4557832,0
0.0.4557671,0
0.0.4557618,0
0.0.4557325,1835186.510213
0.0.4556186,1120.247738
0.0.4555622,0
0.0.4554849,0
0.0.4554721,1047115.511982
0.0.4554653,1234534.925908
0.0.4553003,875430.609715
0.0.4552879,0
0.0.4552864,0
0.0.4552837,0
0.0.4552829,0
0.0.4552754,0
0.0.4552734,0
0.0.4552722,0
0.0.4552612,0
0.0.4552604,0
0.0.4552599,0
0.0.4552592,0
0.0.4552587,0
0.0.4552577,0
0.0.4552380,0
0.0.4551555,0
0.0.4551481,0
0.0.4551430,0
0.0.4550714,0
0.0.4549910,0
0.0.4549698,0
0.0.4549451,0
0.0.4548266,10000001
0.0.4547243,0
0.0.4547169,0
0.0.4545564,0
0.0.4545284,0
0.0.4544621,0
0.0.4542880,213254983.099953
0.0.4540146,314441065.84078
0.0.4539822,0
0.0.4538981,0
0.0.4538297,0
0.0.4537786,0
0.0.4534276,0
0.0.4533574,0
0.0.4531476,1000000
0.0.4530929,0
0.0.4530203,0
0.0.4527435,0
0.0.4527358,0
0.0.4526353,0
0.0.4526329,0
0.0.4526304,0
0.0.4526279,0
0.0.4526242,0
0.0.4526215,0
0.0.4526173,0
0.0.4526136,0
0.0.4526059,0
0.0.4525396,0
0.0.4525056,0
0.0.4524950,0
0.0.4524616,0
0.0.4524395,0
0.0.4524334,0
0.0.4523455,20293.396553
0.0.4522987,0
0.0.4521782,0
0.0.4520872,0
0.0.4520793,0
0.0.4520484,0
0.0.4520388,0
0.0.4520111,0
0.0.4519121,156981.730307
0.0.4519086,0
0.0.4518522,0
0.0.4518031,0
0.0.4518009,0
0.0.4517653,0
0.0.4517509,0
0.0.4517019,0
0.0.4516936,0
0.0.4516173,8586794.020716
0.0.4515821,2427647.415139
0.0.4515537,0
0.0.4515495,0
0.0.4515428,0
0.0.4515378,0
0.0.4515342,0
0.0.4515307,0
0.0.4515269,0
0.0.4513728,0
0.0.4512522,0
0.0.4512359,52532.659072
0.0.4512036,0
0.0.4511822,0
0.0.4510468,0
0.0.4510104,0
0.0.4505628,0
0.0.4505589,376639374.043445
0.0.4504549,0
0.0.4504544,8199.242842
0.0.4503442,0
0.0.4503020,0
0.0.4497317,0
0.0.4496346,485357.812603
0.0.4495399,0
0.0.4471392,0
0.0.4434638,0
0.0.4434628,0
0.0.4434233,0
0.0.4434183,0
0.0.4433448,3238807.342247
0.0.4433353,0
0.0.4432790,0
0.0.4432641,0
0.0.4432565,0
0.0.4432560,0
0.0.4432558,0
0.0.4431869,0
0.0.4431663,29338.933281
0.0.4431471,0
0.0.4431452,0
0.0.4431413,0
0.0.4431408,0
0.0.4431401,0
0.0.4423118,14341.209383
0.0.4422582,200000000
0.0.4420459,0
0.0.4419446,0
0.0.4418105,0
0.0.4412046,0
0.0.4410641,0
0.0.4410320,0
0.0.4409625,0
0.0.4409291,0
0.0.4405471,0
0.0.4400699,1276688.365075
0.0.4397733,8170652.826604
0.0.4394585,1100000
0.0.4393610,0
0.0.4392129,0
0.0.4388417,11587997.415149
0.0.4387065,0.898631
0.0.4385342,0
0.0.4385317,0
0.0.4385315,2052018.096968
0.0.4383878,0
0.0.4383662,760992.679264
0.0.4380690,0
0.0.4380300,0
0.0.4378360,10000
0.0.4377605,0
0.0.4377439,0
0.0.4376961,0
0.0.4375885,0
0.0.4375768,0
0.0.4375748,0
0.0.4375609,0
0.0.4374945,0
0.0.4374423,0
0.0.4370358,0
0.0.4370173,0
0.0.4369085,0
0.0.4369022,0
0.0.4368894,0
0.0.4368891,0
0.0.4368880,0
0.0.4368471,0
0.0.4368127,0
0.0.4368025,0
0.0.4367303,603842.209253
0.0.4366785,0
0.0.4366213,0
0.0.4365108,0
0.0.4365060,3377979.541261
0.0.4364980,0
0.0.4364938,29880.053737
0.0.4364615,0
0.0.4364503,0
0.0.4364298,0
0.0.4363482,642211.146149
0.0.4362898,0
0.0.4362376,0
0.0.4361793,72675041.911453
0.0.4361753,0
0.0.4361232,5452493.461604
0.0.4361223,12643
0.0.4361152,0
0.0.4360579,0
0.0.4360325,0
0.0.4360168,0
0.0.4359829,0
0.0.4359743,0
0.0.4359458,267707.232592
0.0.4358929,0
0.0.4358238,0
0.0.4358160,0
0.0.4358091,1275115.681826
0.0.4357916,5475263964.730445
0.0.4357899,0
0.0.4356632,2000000
0.0.4356574,0
0.0.4356554,1013741.439489
0.0.4356210,0
0.0.4356161,0
0.0.4355560,0
0.0.4355494,132583.957281
0.0.4355319,1155988.168957
0.0.4353964,0
0.0.4353828,417514.111669
0.0.4353601,0
0.0.4353398,0
0.0.4352649,0
0.0.4352235,0
0.0.4352165,0
0.0.4352144,0
0.0.4351993,3538685.275428
0.0.4351585,0
0.0.4351428,0
0.0.4351311,0
0.0.4351095,2289594.009514
0.0.4351055,0
0.0.4350970,0
0.0.4350800,500000
0.0.4350643,0
0.0.4350623,3635889.611536
0.0.4349817,0
0.0.4349063,0
0.0.4348922,0
0.0.4348675,12606788.319729
0.0.4348530,0
0.0.4348083,6222632.737573
0.0.4347702,0
0.0.4347299,0
0.0.4346782,0
0.0.4346579,504494.587167
0.0.4344912,0
0.0.4344875,0
0.0.4344661,0
0.0.4343992,0
0.0.4343325,0
0.0.4343038,0.174611
0.0.4342969,0
0.0.4342382,0
0.0.4341292,189002547.728347
0.0.4340984,0
0.0.4340960,3529333.744645
0.0.4340190,0
0.0.4339452,0
0.0.4338731,0
0.0.4338721,0
0.0.4337865,0
0.0.4337509,0
0.0.4337500,1000000
0.0.4337444,452979.151035
0.0.4336127,0
0.0.4335844,0
0.0.4335807,1180737.900322
0.0.4335796,59241195.396957
0.0.4335507,0
0.0.4335433,31825.511641
0.0.4335048,0
0.0.4334794,0
0.0.4331238,0
0.0.4330680,0
0.0.4329757,0
0.0.4328985,0
0.0.4328570,0
0.0.4327982,0
0.0.4326067,0
0.0.4325946,0
0.0.4325799,0
0.0.4325767,0.081532
0.0.4324445,0
0.0.4323074,0
0.0.4323003,0
0.0.4322774,2031216.123693
0.0.4322711,0
0.0.4322011,0
0.0.4321996,0
0.0.4321631,0
0.0.4321006,0
0.0.4320417,0
0.0.4319978,0
0.0.4319788,0
0.0.4319775,7741647.103071
0.0.4319615,1668622.054802
0.0.4319551,1000000
0.0.4318852,0
0.0.4318557,0
0.0.4318365,0
0.0.4318273,9261803.519304
0.0.4318078,3288445.325891
0.0.4317970,20000
0.0.4317961,48103.265502
0.0.4317909,0
0.0.4317863,0.022235
0.0.4317785,0
0.0.4317780,0
0.0.4317626,0
0.0.4317204,0
0.0.4313945,0
0.0.4313917,0
0.0.4313738,0
0.0.4312275,0
0.0.4307295,0
0.0.4304198,1100000
0.0.4275824,0
0.0.4245261,0
0.0.4228395,0.170217
0.0.4213838,2000000
0.0.4212170,64653308.275859
0.0.4209855,5000016.081909
0.0.4208298,0
0.0.4207604,0
0.0.4203036,0
0.0.4202780,0
0.0.4196921,0
0.0.4194103,0
0.0.4187834,0
0.0.4179051,112202894.605359
0.0.4174904,0
0.0.4154537,71607185.800901
0.0.4153379,211863.062291
0.0.4153210,0
0.0.4152776,0
0.0.4152560,65875.493953
0.0.4144430,565351.97328
0.0.4144008,0
0.0.4143560,0
0.0.4125671,0
0.0.4119141,0
0.0.4108584,1020900.000132
0.0.4105193,0
0.0.4104878,200
0.0.4091456,10.000395
0.0.4091354,0
0.0.4066327,0
0.0.4061901,5030699.045887
0.0.4042956,0
0.0.4041288,0
0.0.4031957,0
0.0.3972426,0
0.0.3969243,0
0.0.3961682,56503912.068771
0.0.3961152,0
0.0.3961141,0
0.0.3959539,0
0.0.3957954,0
0.0.3954803,0.000177
0.0.3947850,0
0.0.3947641,0
0.0.3947043,15134.029604
0.0.3943348,0
0.0.3942263,0
0.0.3932850,5073718.103279
0.0.3931707,6921.722547
0.0.3929060,0
0.0.3927125,2000000
0.0.3913346,0
0.0.3910387,0
0.0.3909778,227938.903914
0.0.3909638,400000001
0.0.3908547,0
0.0.3873213,998936.815437
0.0.3872452,5388.523638
0.0.3871441,0
0.0.3869364,0
0.0.3868826,0
0.0.3868189,13358058.636
0.0.3866496,21958.661043
0.0.3866008,0
0.0.3853812,0
0.0.3847696,2323678.481514
0.0.3847532,0
0.0.3845966,704470.528599
0.0.3845753,1700
0.0.3842307,500
0.0.3839139,1247955.841772
0.0.3833444,0
0.0.3829458,0
0.0.3826425,0
0.0.3820457,0
0.0.3805180,0
0.0.3764269,0
0.0.3761047,5608525.228513
0.0.3746236,0
0.0.3745835,0
0.0.3745833,56965.336781
0.0.3743508,0
0.0.3743473,0
0.0.3738922,0
0.0.3734779,0
0.0.3730625,102000
0.0.3726252,0
0.0.3725122,0
0.0.3722217,0.013146
0.0.3722095,0
0.0.3722058,0
0.0.3722035,0
0.0.3721999,0
0.0.3721984,0
0.0.3721956,0
0.0.3721939,0
0.0.3721899,0
0.0.3720870,0
