Account,Balance
0.0.7782164,90971
0.0.7781966,9100
0.0.7457277,0
0.0.7450773,10
0.0.7428461,345
0.0.7299329,15
0.0.7268957,0
0.0.7247949,0
0.0.7219669,0
0.0.7217243,0
0.0.7214569,1000
0.0.7214078,0
0.0.7212092,0
0.0.7017263,685000
0.0.6991558,1000
0.0.6972790,50
0.0.6921847,0
0.0.6896673,0
0.0.6834415,0
0.0.6653370,0
0.0.6646851,0
0.0.6646302,50
0.0.6634261,0
0.0.6588728,1110
0.0.6487995,0
0.0.6450934,1100
0.0.6236134,50
0.0.6093181,50
0.0.6062498,20
0.0.5997202,135
0.0.5996318,0
0.0.5953039,0
0.0.5806502,50
0.0.5804100,0
0.0.5791049,0
0.0.5735330,0
0.0.5639608,50
0.0.5418436,0
0.0.5378059,1000
0.0.5293942,0
0.0.5131555,2115
0.0.5085227,50
0.0.5076407,0
0.0.5053583,0
0.0.5026530,30
0.0.4972800,0
0.0.4953175,1073
0.0.4928160,0
0.0.4856498,175
0.0.4804137,0
0.0.4791394,1140
0.0.4791331,1050
0.0.4749255,50
0.0.4748281,50
0.0.4721468,50
0.0.4703126,0
0.0.4624432,1010
0.0.4607653,1220
0.0.4607079,0
0.0.4601935,0
0.0.4600059,0
0.0.4589800,1000
0.0.4558305,0
0.0.4552252,0
0.0.4526353,0
0.0.4526329,0
0.0.4526304,0
0.0.4526279,50
0.0.4526242,0
0.0.4526215,50
0.0.4526173,50
0.0.4526136,50
0.0.4526059,50
0.0.4525396,50
0.0.4471392,60
0.0.4387014,0
0.0.4383662,1000
0.0.4377912,50
0.0.4375876,1000
0.0.4375737,0
0.0.4357899,0
0.0.4355560,50
0.0.4324445,1057
0.0.4319673,1582
0.0.4318040,1000
0.0.4245822,100
0.0.4245755,100
0.0.4228395,20
0.0.4144458,405
0.0.4061924,11000
0.0.4040762,1060
0.0.4000020,0
0.0.3958165,0
0.0.3925327,1000
0.0.3910387,0
0.0.3833132,50
0.0.3761457,0
0.0.3743132,1000
0.0.3732985,40
0.0.3718300,0
0.0.3718225,0
0.0.3556606,1010
0.0.3295268,50
0.0.3292868,1110
0.0.3288501,1000
0.0.3176657,0
0.0.3103501,1055
0.0.3066235,0
0.0.3034619,1000
0.0.3010578,11000
0.0.3000008,0
0.0.2960280,1000
0.0.2554766,890
0.0.2552891,100
0.0.2180226,1300
0.0.2175921,10
0.0.2166614,1000
0.0.2165047,0
0.0.2161003,50
0.0.2154399,0
0.0.2132663,50
0.0.2036721,0
0.0.2036103,0
0.0.2031766,50
0.0.2031344,50
0.0.2029586,50
0.0.2020145,50
0.0.1986648,10000
0.0.1972499,100
0.0.1933120,1080
0.0.1792818,7
0.0.1792662,0
0.0.1750694,1000
0.0.1733408,1050
0.0.1723398,100
0.0.1708785,1000
0.0.1708350,0
0.0.1677635,1000
0.0.1442079,1010
0.0.1441316,0
0.0.1421971,0
0.0.1416263,11000
0.0.1389266,0
0.0.1383669,10000
0.0.1350500,0
0.0.1332780,0
0.0.1320188,0
0.0.1312367,0
0.0.1300860,0
0.0.1285385,0
0.0.1280405,1000
0.0.1279501,0
0.0.1278848,0
0.0.1262582,1000
0.0.1221428,50
0.0.1209487,0
0.0.1183366,1000
0.0.1170731,50
0.0.1160400,0
0.0.1159806,1000
0.0.1154733,0
0.0.1154729,0
0.0.1141876,1000
0.0.1126576,1000
0.0.1117391,1000
0.0.1117285,1000
0.0.1116317,0
0.0.1097530,1135
0.0.1097012,1000
0.0.1096712,0
0.0.1079361,115
0.0.1077227,1000
0.0.1073706,1000
0.0.1063232,1155
0.0.1044543,1000
0.0.1036441,1000
0.0.1001904,1000
0.0.974316,10000
0.0.954296,1000
0.0.943098,0
0.0.934531,0
0.0.924713,0
0.0.898540,0
0.0.850710,0
0.0.831944,55
0.0.820741,0
0.0.819934,11000
0.0.818698,1000
0.0.813792,50
0.0.812534,1000
0.0.791797,1070
0.0.789038,2030
0.0.787107,0
0.0.773273,1000
0.0.749646,1000
0.0.747045,50
0.0.707749,0
0.0.702708,1000
0.0.699534,11000
0.0.694381,0
0.0.693645,11000
0.0.664329,60
0.0.663924,1000
0.0.657759,0
0.0.657631,11000
0.0.655484,0
0.0.589556,0
0.0.587477,65
0.0.584341,0
0.0.583707,1000
0.0.568040,0
0.0.513290,3900
0.0.512336,10000
0.0.500820,50
0.0.480627,0
0.0.401124,10000
0.0.401107,0
0.0.206863,0
0.0.44268,0
0.0.6156,11000
